time_of_8threadswithview time_of_8threadwithoutview time_of_8threadwithoutcoder ratio_of_perf_promotionofview ratio_of_perf_promotionofcoder
0.09094949869009164	0.10373668856435007	0.11227221993895083	0.123266 0.18992
0.09606959126688741	0.09994707502923407	0.11079945168890558	0.0387954 0.132942
0.08983672010553229	0.10126731612465599	0.10502909232567359	0.112875 0.144649
0.09550886173229237	0.09797958227304313	0.11163075939639584	0.0252167 0.144422
0.09366745096105676	0.10093586237637789	0.1142911937210586	0.0720102 0.180449
0.09315331808694235	0.09863233828282618	0.11060594488214422	0.0555499 0.157791
0.09266399027227046	0.09642135751592767	0.10818043145742808	0.0389682 0.143431
0.0957881030026492	0.10352570431811231	0.11380804716409385	0.0747409 0.158336
0.09732969157345644	0.10076901915071013	0.10392433518058175	0.0341308 0.0634562
0.09243723229094819	0.09938889473944634	0.11690929171803234	0.0699441 0.209325
avg_time_of_8threadswithview avg_time_of_8threadwithoutview avg_time_of_8threadwithoutcoder avg_ratio_of_perf_promotionofview avg_ratio_of_promotionofcoder
	0.0937404 0.10026 0.110745 0.0650301 0.153548
