time_of_8threadswithview time_of_8threadwithoutview time_of_8threadwithoutcoder ratio_of_perf_promotionofview ratio_of_perf_promotionofcoder
0.14949586627247569	0.16194910864968162	0.17124771214388942		0.076896 0.12702
0.1495651650976587	0.16062106976618656	0.16627434988717338	0.0688322 0.100492
0.1475838743127905	0.16262011642341728	0.17104560726291532	0.0924624 0.137167
0.14846143570098724	0.1574084415778771	0.1659960339476655	0.0568394 0.105633
0.1453544893464842	0.1581975063243946	0.1708941204802735	0.0811834 0.149447
0.1460060418307126	0.16295292851450918	0.16904023429611464	0.103999 0.136265
0.15086374559126176	0.15967675879761412	0.16597239001766667	0.0551928 0.0910311
0.1455572647052807	0.16238520385978464	0.16937115856936644	0.10363 0.140602
0.14788915489341592	0.1654826511036266	0.1649780804579789	0.106316 0.103583
0.15142145142569527	0.16016294406010553	0.16407436614746337	0.0545787 0.077117
avg_time_of_8threadswithview avg_time_of_8threadwithoutview avg_time_of_8threadwithoutcoder avg_ratio_of_perf_promotionofview avg_ratio_of_promotionofcoder
	0.14822 0.161146 0.167889 0.080212 0.117158
