time_of_8threadswithview time_of_8threadwithoutview time_of_8threadwithoutcoder ratio_of_perf_promotionofview ratio_of_perf_promotionofcoder
0.27169716733506416	0.2795703668465679	0.2806913874138599	0.0281618 0.0320431
0.271968022755895	0.29192784724981413	0.28237200629288167	0.0683725 0.036845
0.2801717176013205	0.2852798612757601	0.28377391516358064	0.0179057 0.0126939
0.2653840227999251	0.28547635321495596	0.2848012377058846	0.0703818 0.0681781
0.2730875023599269	0.2857518827599445	0.28460665597491475	0.0443195 0.0404739
0.2694880926626912	0.2816174243581944	0.28232310176908465	0.0430702 0.0454621
0.28024005043929606	0.28311262197461146	0.2798723789645933	0.0101464 -0.00131371
0.2740572810709208	0.2904962698618571	0.2862796141230303	0.0565893 0.0426937
0.27235347446592256	0.28765804644884435	0.287083356038503	0.053204 0.0513087
0.2701964630954329	0.2864796694727435	0.28358549823884904	0.056839 0.0472134
avg_time_of_8threadswithview avg_time_of_8threadwithoutview avg_time_of_8threadwithoutcoder avg_ratio_of_perf_promotionofview avg_ratio_of_promotionofcoder
	0.272864 0.285737 0.283539 0.0450507 0.0376475
